HotelCode|PropertyAmenities
180637|Air conditioning in public areas,Hotel safe,Currency exchange facilities,Check-in hour,Room service,Laundry service,Medical service,Check-out hour,Gym,Multilingual staff,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,YES Car park,NO Wheelchair-accessible
181058|Total number of rooms - ,Spa treatment room(s),Wedding services,Free shopping center shuttle
181350|Laundry facilities,Children's pool,Multilingual staff
181556|24-hour business center,Computer station,Free beach shuttle,Free parking nearby
181557|Fitness facilities,Health club,Nightclub,Designated smoking areas
181558|Breakfast available (surcharge),24-hour front desk
181559|Babysitting or childcare,Coffee/tea in common areas,Laundry facilities,Multilingual staff,Meeting rooms,Tours/ticket assistance,Free long-term parking
181560|ATM/banking,Pool umbrellas,Free WiFi,Free shopping center shuttle
181561|Garden,Children's pool,Safe-deposit box at front desk,24-hour front desk,Sauna,Number of restaurants - ,Free self parking,Number of poolside bars - ,Terrace
184694|TV,Laundry,Satellite TV,Gym,Restaurant,Minibar,Room service
185631|Car parking (Payable to hotel, if applicable),Early check-in,Coach parking,Lobby,Porterage,Room Service,Air conditioning,Hairdryer,Connection for laptop,Mini bar,Satellite television,Television,Voltage
185826|Elevator/lift,Arcade/game room,Free wired high-speed Internet,Luggage storage
197013|Outdoor pool,Concierge services,Arcade/game room,24-hour front desk,Express check-in,Wired (high-speed) Internet access - surcharge,Luggage storage
202568|Health club,Wedding services
202616|Concierge services,Coffee shop or café,Luggage storage
202734|Baby sitting,Car parking (Payable to hotel, if applicable),Early check-in,Coach parking,Lifts,Lobby,Porterage,Room Service,Air conditioning,Hairdryer,Connection for laptop,Satellite television,Television,Voltage
202953|Luggage storage
203060|Year Built
203062|Don’t miss out on recreational opportunities including an outdoor pool and a fitness center. This aparthotel also features wireless Internet access (surcharge), concierge services, and gift shops/newsstands.
203064|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203065|Baby sitting,Car parking (Payable to hotel, if applicable),Early check-in,Lifts,Lobby,Porterage,Room Service,Air conditioning,Hairdryer,Internet via television,Connection for laptop,Mini bar,Satellite television,Television,Voltage
203066|24-hour front desk,WiFi (surcharge)
203067|Fitness facilities,Designated smoking areas
203480|Multilingual staff
203481|car park,concierge,elevator,room service,tours
204454|Elevator/lift,Total number of rooms - ,Free newspapers in lobby,Designated smoking areas,Tours/ticket assistance
205068|Early check-in,Lifts,Lobby,Room Service,Tennis,Air conditioning,Hairdryer,Mini bar,Satellite television,Television
205069|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205070|Number of floors - ,Number of buildings/towers - ,Dry cleaning/laundry service
205246|Baby sitting,Car parking (Payable to hotel, if applicable),Early check-in,Lifts,Lobby,Room Service,Air conditioning,Hairdryer,Satellite television,Television,Voltage
205589|Restaurant,Free newspapers in lobby
206392|Supervised childcare/activities,Shopping on site,Number of buildings/towers -
208038|Tours/ticket assistance,Luggage storage
208990|Outdoor pool,Safe-deposit box at front desk,Free newspapers in lobby
209395|Elevator/lift,Sauna,Free self parking
209398|Elevator/lift,Airport transportation (surcharge),Spa services on site,Free wired high-speed Internet,Supervised childcare/activities (surcharge)
209411|Coffee shop or café,Free newspapers in lobby
209433|Outdoor pool,Breakfast available (surcharge)
209440|Fitness facilities,Gift shops or newsstand,Business center,Tours/ticket assistance,Number of meeting rooms -
